home_team,away_team,home_elo,away_elo,home_form,away_form,result
Team D,Team G,1543,1800,0.809788434406447,0.5354670644535813,Draw
Team E,Team H,1834,1652,0.4484088610459186,0.7899596636829463,Away Win
Team C,Team F,1884,1629,0.5703264811860562,0.5634809451421311,Home Win
Team E,Team F,1485,1406,0.377495649090897,0.5261666576549446,Draw
Team E,Team I,1584,1573,0.8724306163552336,0.5776078714017638,Home Win
Team B,Team H,1684,1540,0.6637047806705281,0.4808267244984853,Home Win
Team C,Team J,1861,1567,0.43718568330207763,0.7485656281057507,Draw
Team C,Team H,1619,1569,0.7030204106435141,0.6016322340554876,Home Win
Team C,Team I,1468,1792,0.6708769442747375,0.4393276170880904,Draw
Team E,Team I,1446,1833,0.5148976308197043,0.8397447439647412,Away Win
Team D,Team H,1896,1682,0.3681345553197774,0.5303347328239268,Draw
Team C,Team I,1493,1521,0.7029439173556797,0.6261317166683932,Draw
Team E,Team H,1637,1593,0.6121846205422761,0.8438832665787281,Away Win
Team B,Team G,1845,1404,0.7633910350413837,0.6745427975483953,Home Win
Team D,Team H,1899,1428,0.612098100667196,0.37013882442501844,Home Win
Team B,Team H,1852,1564,0.8113089001911242,0.8638992741680851,Home Win
Team D,Team I,1603,1821,0.6311441032646914,0.6766248318428507,Away Win
Team E,Team I,1799,1738,0.6365627829212318,0.5009433687942517,Home Win
Team A,Team F,1617,1535,0.825992161595007,0.38356324359803234,Home Win
Team D,Team F,1873,1895,0.5420897197274382,0.7764151135621776,Away Win
Team B,Team G,1831,1764,0.38040913707038443,0.6720436535571082,Away Win
Team E,Team F,1740,1720,0.3172696057880034,0.620076655185793,Away Win
Team D,Team H,1438,1741,0.7530823534041715,0.8363355498305747,Away Win
Team A,Team I,1499,1899,0.6721857308120789,0.7731583267347185,Away Win
Team A,Team F,1688,1544,0.7224478608595342,0.3910049278396507,Home Win
Team C,Team F,1653,1726,0.4277784969053464,0.48703324067732895,Away Win
Team C,Team G,1621,1616,0.3818228853520619,0.4490934838886794,Draw
Team B,Team G,1756,1700,0.30872679940072917,0.7463677755436062,Away Win
Team D,Team H,1422,1531,0.5103525352839582,0.32011946084146764,Draw
Team D,Team I,1649,1691,0.6539506121127798,0.6419338109227899,Draw
Team C,Team G,1409,1469,0.5353464270598394,0.7574752114444143,Away Win
Team D,Team F,1645,1651,0.5624849532142375,0.8260593820570497,Away Win
Team D,Team I,1724,1814,0.8424952166962492,0.5052490492295445,Home Win
Team A,Team I,1499,1674,0.5089532802139802,0.7927543828032078,Away Win
Team C,Team F,1689,1844,0.6083936934958865,0.36637904217312434,Draw
Team E,Team G,1579,1763,0.7701918076446859,0.8078713750407109,Away Win
Team C,Team F,1622,1581,0.5379256693927621,0.37649319739918946,Home Win
Team E,Team I,1793,1566,0.6732520201367241,0.5383723743362203,Home Win
Team A,Team J,1649,1490,0.8174182252480471,0.7783772194677323,Home Win
Team B,Team J,1546,1601,0.8697123741945854,0.3899504564092643,Home Win
Team D,Team H,1841,1745,0.38824408855742276,0.43755083713958487,Draw
Team A,Team F,1495,1418,0.8559525750968968,0.7333515410358398,Home Win
Team D,Team F,1656,1438,0.595269775847723,0.7320219219276447,Draw
Team B,Team H,1724,1525,0.454946632979375,0.6846885797311784,Draw
Team B,Team H,1892,1850,0.5754814537429569,0.71636906668026,Draw
Team A,Team H,1403,1572,0.8880195451712862,0.6256346660085577,Draw
Team B,Team I,1415,1540,0.5955708563957218,0.45107943534417166,Draw
Team E,Team F,1679,1641,0.49725096617250497,0.5074175961023517,Draw
Team B,Team I,1735,1619,0.6800405125900355,0.4089586300808554,Home Win
Team D,Team H,1646,1525,0.4440873712669159,0.8450703368001771,Away Win
Team D,Team F,1657,1457,0.34551799686519835,0.6500350768596723,Away Win
Team D,Team I,1896,1547,0.3773278331463895,0.5405108500581839,Home Win
Team D,Team I,1875,1875,0.3768275033746635,0.5772034821864797,Away Win
Team E,Team H,1783,1855,0.39114161610737663,0.8683700037670892,Away Win
Team C,Team F,1559,1716,0.38329630358964606,0.39201084186964813,Away Win
Team A,Team H,1874,1782,0.6845248468819288,0.6517378992100784,Home Win
Team D,Team F,1739,1760,0.4091280506394869,0.6035332073306796,Away Win
Team B,Team J,1551,1822,0.5074003699943179,0.6668725412607888,Away Win
Team D,Team G,1795,1400,0.8380730459436072,0.31086611029250427,Home Win
Team B,Team G,1577,1786,0.5843769841577234,0.823274345366491,Away Win
Team B,Team G,1562,1860,0.7005346431126164,0.8592709694901675,Away Win
Team D,Team H,1779,1747,0.4033919227209779,0.6390799101535254,Away Win
Team E,Team J,1432,1589,0.41537341128520244,0.7179904943261355,Away Win
Team B,Team F,1816,1590,0.3245211697598873,0.8534996287063774,Away Win
Team B,Team I,1844,1768,0.40136103784329874,0.7243431805880391,Away Win
Team D,Team F,1578,1808,0.4671542034191752,0.3915234257485568,Away Win
Team B,Team I,1826,1711,0.40620629056604807,0.645773016100088,Away Win
Team B,Team F,1500,1816,0.35322152025423337,0.6640290278297136,Away Win
Team D,Team J,1667,1821,0.3723815226603605,0.5544784027814316,Away Win
Team D,Team I,1722,1516,0.5764672608196355,0.7418665413748338,Draw
Team A,Team H,1464,1533,0.42380023104347553,0.860620208861409,Away Win
Team E,Team F,1816,1457,0.5185619166288453,0.8553411077440658,Draw
Team E,Team F,1567,1443,0.6020503625129141,0.5705036228424794,Home Win
Team B,Team I,1729,1572,0.7142368971776192,0.3679428275044532,Home Win
Team E,Team H,1442,1559,0.32358728390465935,0.8909047193774009,Away Win
Team B,Team H,1443,1572,0.7796462393454257,0.8033388518675606,Away Win
Team A,Team J,1684,1716,0.6767402336945447,0.3747976087219601,Home Win
Team D,Team H,1796,1702,0.34905541916932314,0.8525051295704236,Away Win
Team D,Team H,1411,1548,0.8241471744640665,0.8219378172372771,Away Win
Team D,Team H,1494,1479,0.852523440319088,0.6113028342756432,Home Win
Team E,Team G,1701,1773,0.33664677591291825,0.6547652614469576,Away Win
Team A,Team J,1785,1612,0.46612658888832226,0.5394016223220781,Draw
Team E,Team F,1652,1602,0.7837207678758369,0.3328569832932188,Home Win
Team E,Team I,1898,1651,0.7489558142301951,0.5011183449875406,Home Win
Team A,Team F,1641,1628,0.4107126116138264,0.7817120691588069,Away Win
Team A,Team J,1434,1563,0.4256095940020262,0.3027792138027617,Draw
Team A,Team I,1614,1626,0.5222832616748292,0.5000995030146865,Draw
Team A,Team J,1736,1546,0.5907137911146128,0.538901216154566,Home Win
Team D,Team H,1489,1419,0.6709528629181776,0.6224373617627538,Home Win
Team C,Team I,1663,1840,0.5213481837418634,0.8519133698476564,Away Win
Team C,Team H,1492,1801,0.5775208296798888,0.5078075966195768,Away Win
Team A,Team F,1809,1446,0.748482562880254,0.5081719211377367,Home Win
Team C,Team F,1857,1632,0.3220099217343587,0.742500748865849,Away Win
Team C,Team I,1489,1704,0.4514621666064125,0.5713307645338843,Away Win
Team A,Team I,1817,1413,0.7280097515307316,0.4347628937639892,Home Win
Team C,Team J,1514,1542,0.8371241026123197,0.571463709679616,Home Win
Team E,Team J,1504,1814,0.6070064652693997,0.3845142122278799,Draw
Team B,Team H,1790,1400,0.6192680911591895,0.405832191903734,Home Win
Team B,Team I,1595,1772,0.36430320680386563,0.5990206636436879,Away Win
Team A,Team F,1713,1453,0.5684474200940728,0.5513552697027287,Home Win
Team D,Team J,1513,1773,0.619570359873014,0.8489075406408602,Away Win
Team A,Team J,1892,1658,0.44548230218083784,0.5174363394699799,Home Win
Team D,Team F,1474,1543,0.46154593856962856,0.6483530101668261,Away Win
Team B,Team J,1812,1870,0.5263704978627737,0.6793585727517183,Away Win
Team A,Team H,1775,1840,0.3120427186666358,0.30785667395300015,Draw
Team E,Team I,1819,1858,0.49324749934990697,0.6981224232100264,Away Win
Team C,Team F,1616,1411,0.42686880419792683,0.4068215801218509,Home Win
Team D,Team I,1676,1729,0.49649841130674877,0.8766421904816732,Away Win
Team C,Team J,1648,1623,0.37185727909155075,0.3891976366518678,Draw
Team C,Team J,1563,1671,0.834316368443937,0.5487744742362143,Home Win
Team A,Team F,1793,1855,0.6561554721324292,0.35120980084718634,Home Win
Team C,Team H,1756,1757,0.7074613914866938,0.8981245511075684,Away Win
Team E,Team G,1856,1859,0.773502743164403,0.6013170061987456,Home Win
Team C,Team F,1807,1807,0.5990653193574345,0.6572310103920262,Draw
Team A,Team G,1591,1555,0.3521521728524542,0.3402458864330565,Draw
Team E,Team G,1626,1772,0.6222639250911287,0.7499762822395067,Away Win
Team B,Team H,1576,1407,0.6521046708125275,0.42594335585735144,Home Win
Team C,Team G,1498,1521,0.747263684510598,0.8388325736644284,Away Win
Team A,Team G,1895,1747,0.5589957277378077,0.4230837842892043,Home Win
Team B,Team H,1435,1563,0.3765481816773383,0.4144126323981999,Away Win
Team B,Team G,1865,1489,0.47026554347923466,0.3219298007088569,Home Win
Team D,Team G,1896,1535,0.5178493778391811,0.5832401670659996,Home Win
Team E,Team G,1886,1585,0.6875503447989608,0.6389046799575699,Home Win
Team C,Team F,1495,1715,0.6424669828013472,0.3394251836570114,Draw
Team A,Team F,1551,1577,0.5136580355387077,0.7653165700170064,Away Win
Team D,Team F,1550,1427,0.8919091492757878,0.5719733008488166,Home Win
Team E,Team H,1589,1619,0.6634648916141324,0.614634161596548,Draw
Team D,Team J,1623,1756,0.44233607504159667,0.5644576481629369,Away Win
Team E,Team G,1436,1440,0.3610694835722422,0.5404578365251956,Away Win
Team E,Team G,1667,1627,0.3917154835105992,0.6357841987849308,Away Win
Team C,Team H,1768,1591,0.4475746370307049,0.3931441475584275,Home Win
Team E,Team G,1582,1810,0.3964088239557334,0.4091568782971627,Away Win
Team D,Team F,1412,1846,0.41194021443078344,0.8170713726081105,Away Win
Team E,Team J,1678,1544,0.4710571012163083,0.8676692772801797,Away Win
Team C,Team I,1616,1600,0.4040241571768529,0.5239855897678518,Away Win
Team C,Team G,1754,1816,0.8380592547758552,0.46244680388613224,Home Win
Team D,Team F,1760,1611,0.34814024739698535,0.6863997259434095,Away Win
Team B,Team I,1685,1860,0.6147068337421528,0.5452405026588578,Away Win
Team B,Team J,1672,1619,0.5462380961937969,0.31523181339620693,Home Win
Team E,Team I,1768,1639,0.8894271701451639,0.3936915584197142,Home Win
Team A,Team F,1461,1812,0.3672233413008314,0.7295833373084386,Away Win
Team E,Team I,1483,1796,0.538713359427445,0.6953543651460908,Away Win
Team D,Team H,1767,1445,0.8816822599652214,0.3162575955020901,Home Win
Team D,Team I,1616,1434,0.8193042755363882,0.43318329715976966,Home Win
Team D,Team G,1741,1652,0.790243242569568,0.43864487795284285,Home Win
Team D,Team G,1796,1789,0.4547416962269639,0.7031356461592371,Away Win
Team D,Team H,1586,1481,0.4025325524340395,0.3118263226526185,Home Win
Team C,Team F,1418,1770,0.7011859319546586,0.3624651491907443,Draw
Team B,Team G,1576,1655,0.8576255934765515,0.7799496512239137,Draw
Team D,Team J,1499,1596,0.6340577358083579,0.40712679723260015,Home Win
Team A,Team G,1795,1702,0.64296761368194,0.6916476647111249,Draw
Team A,Team G,1844,1808,0.46798745619617055,0.44290966862803594,Draw
Team A,Team F,1632,1849,0.7616957599151621,0.3596648356556071,Home Win
Team A,Team I,1802,1409,0.412226249134514,0.4459033145996725,Home Win
Team C,Team G,1475,1711,0.4942075418425462,0.7333601591133956,Away Win
Team A,Team H,1664,1685,0.55526186316985,0.8134178808637715,Away Win
Team D,Team I,1854,1641,0.6045662272106731,0.798131918740195,Draw
Team E,Team J,1683,1650,0.44544583944904814,0.538310117771073,Draw
Team A,Team F,1605,1764,0.3689020948435221,0.7008510819423878,Away Win
Team C,Team J,1622,1404,0.6663720254649796,0.42299057724949257,Home Win
Team C,Team I,1783,1518,0.4731783319441535,0.475888638156608,Home Win
Team A,Team I,1451,1688,0.6487429328535674,0.8378014911126719,Away Win
Team E,Team I,1738,1773,0.39261762916452136,0.3078011541064416,Draw
Team A,Team J,1766,1464,0.5886840611128905,0.35130511851268087,Home Win
Team C,Team I,1543,1545,0.6195536595309515,0.4247317530876164,Home Win
Team B,Team J,1772,1623,0.3310941220934561,0.3159193223242918,Home Win
Team D,Team I,1468,1638,0.5019625669163523,0.4088612610538784,Draw
Team C,Team H,1498,1576,0.38064880616338453,0.6498249365818154,Away Win
Team A,Team I,1795,1666,0.3380249822836606,0.5528547303554988,Draw
Team D,Team J,1424,1740,0.8939761394339671,0.8356030266461849,Away Win
Team A,Team G,1835,1681,0.4934123069848338,0.7904661370430646,Away Win
Team A,Team I,1778,1462,0.7859246675127809,0.5050904110187255,Home Win
Team B,Team G,1868,1616,0.45278439285825833,0.4556540600587755,Home Win
Team D,Team H,1883,1741,0.7089016333343576,0.5278154449003601,Home Win
Team D,Team F,1452,1714,0.7561367159338119,0.6541769655088847,Away Win
Team B,Team H,1550,1682,0.6573832443647066,0.46083818449372577,Draw
Team C,Team I,1543,1576,0.582945713130095,0.6744893447094804,Away Win
Team A,Team G,1456,1860,0.5471045484883612,0.5456469913147443,Away Win
Team E,Team G,1438,1816,0.5093209599257972,0.6312283085111882,Away Win
Team A,Team J,1508,1497,0.8577174865486956,0.5616759174811901,Home Win
Team A,Team G,1580,1504,0.7983716446726375,0.4766794557251506,Home Win
Team C,Team J,1441,1498,0.8790161463999075,0.869071984177294,Draw
Team A,Team F,1585,1784,0.37457833409132685,0.7581634764958565,Away Win
Team B,Team I,1822,1804,0.7385204851221866,0.3840679054598715,Home Win
Team B,Team J,1797,1895,0.8630042740926227,0.8210807855387476,Draw
Team D,Team F,1622,1710,0.4087398396993961,0.5924587189497081,Away Win
Team E,Team G,1521,1405,0.3398977604200665,0.836731336136455,Away Win
Team A,Team G,1532,1875,0.7446723895740355,0.7799131535683892,Away Win
Team A,Team F,1562,1864,0.6446838679079472,0.5551281026815401,Away Win
Team C,Team G,1614,1596,0.8050972660549633,0.3134815849920704,Home Win
Team B,Team F,1620,1750,0.3838634259757737,0.46120641563096765,Away Win
Team E,Team J,1634,1532,0.7771603871159342,0.6249805287965202,Home Win
Team D,Team J,1730,1757,0.42097639202864673,0.6800869318956884,Away Win
Team B,Team F,1545,1658,0.3981935657194227,0.45473261125992137,Away Win
Team D,Team J,1638,1836,0.39855947875859576,0.3836136444436945,Away Win
Team C,Team J,1475,1422,0.7887448321388293,0.8009581420795795,Draw
Team C,Team J,1408,1884,0.6991183324177201,0.8906413084221314,Away Win
Team A,Team H,1473,1452,0.6138392548614716,0.6154141093816115,Draw
Team E,Team I,1841,1564,0.5152982904741015,0.4030075715089821,Home Win
Team D,Team G,1891,1601,0.826320324487865,0.4633843959116214,Home Win
